"","Cluster","Gene","corr","pval"
"334","Cluster 3","NT5E",0.0196468651291081,0.905501915606011
"335","Cluster 3","RAET1G",0.546799089492127,0.000316110881014679
"336","Cluster 3","TAP1",0.178305735241905,0.277469276017662
"337","Cluster 4","B2M",0.589251599233224,0.00061218622154397
"338","Cluster 4","CCL20",0.437859654809261,0.0155225004736111
"339","Cluster 4","CCL22",0.56849047870258,0.00104686625366944
"340","Cluster 4","CCL28",0.0868437114116246,0.648163662359883
"341","Cluster 4","CCR6",0.610192898509568,0.000343075057666743
"342","Cluster 4","CD1C",-0.162466219959005,0.391018296366072
"343","Cluster 4","CD40",0.458935255559536,0.0107425808183997
"344","Cluster 4","CXCL17",0.640199223528535,0.000138894284076835
"345","Cluster 4","EZH2",0.49578576319476,0.00533448464792376
"346","Cluster 4","KLRK1",0.641576213979352,0.000132942932581167
"347","Cluster 4","LAG3",0.0845788747779115,0.656774539475858
"348","Cluster 4","NT5E",0.332596726722043,0.0725232800271963
"349","Cluster 4","RAET1G",0.417152436295075,0.0218230115671525
"350","Cluster 4","TAP1",0.271808796129969,0.14621890563597
"351","Cluster 1","B2M",0.628510095181889,1.72551708459887e-06
"352","Cluster 1","CCL20",0.153232386751189,0.298434045487129
"353","Cluster 1","CCL22",-0.10091689476632,0.494930271043232
"354","Cluster 1","CCL28",0.481354299524034,0.000533035921560167
"355","Cluster 1","CCR6",0.252314442264567,0.0836084670502149
"356","Cluster 1","CD40",0.271356782498512,0.0620927577049982
"357","Cluster 1","CXCL17",0.946380660787178,3.29396814888413e-24
"358","Cluster 1","EZH2",0.61285036692536,3.65394119101733e-06
"359","Cluster 1","HSP90B1",0.904805978142511,1.13305983923774e-18
"360","Cluster 1","KLRK1",0.412211110142701,0.00359970076845789
"361","Cluster 1","NT5E",0.99489535841161,1.78523010775039e-47
"362","Cluster 1","RAET1G",0.753369550831378,6.46705169035271e-10
"363","Cluster 1","TAP1",0.730429298615785,3.80224743097221e-09
"364","Cluster 2","B2M",0.585845222400471,0.000426843285091363
"365","Cluster 2","CCL22",0.560470257779909,0.000849034428754906
"366","Cluster 2","CCL28",-0.0883340770726731,0.630691422664306
"367","Cluster 2","CD1C",0.117903612617291,0.520434719196191
"368","Cluster 2","CD2",-0.0644372260675929,0.726058028417477
"369","Cluster 2","CD40",0.720559742981241,3.30870933220301e-06
"370","Cluster 2","CXCL17",0.669502936534166,2.78556530854526e-05
